381,MWI
391,MWI
402,MWI
10,MLI
18,MLI
54,MLI
90,MLI
135,MLI
161,MLI
182,MLI
185,MLI
194,MLI
226,MLI
227,MLI
236,MLI
253,MLI
287,MLI
293,MLI
304,MLI
324,MLI
328,MLI
391,MLI
18,MOZ
63,MOZ
82,MOZ
134,MOZ
182,MOZ
194,MOZ
204,MOZ
219,MOZ
227,MOZ
295,MOZ
324,MOZ
328,MOZ
334,MOZ
338,MOZ
342,MOZ
358,MOZ
391,MOZ
12,MMR
18,MMR
73,MMR
79,MMR
112,MMR
126,MMR
153,MMR
161,MMR
194,MMR
200,MMR
210,MMR
226,MMR
227,MMR
238,MMR
242,MMR
253,MMR
264,MMR
308,MMR
323,MMR
326,MMR
342,MMR
346,MMR
353,MMR
357,MMR
358,MMR
391,MMR
400,MMR
402,MMR
2,NPL
12,NPL
50,NPL
55,NPL
62,NPL
73,NPL
95,NPL
102,NPL
112,NPL
126,NPL
131,NPL
154,NPL
162,NPL
166,NPL
167,NPL
188,NPL
189,NPL
193,NPL
194,NPL
202,NPL
204,NPL
205,NPL
217,NPL
226,NPL
231,NPL
232,NPL
241,NPL
253,NPL
256,NPL
257,NPL
264,NPL
284,NPL
290,NPL
297,NPL
304,NPL
320,NPL
323,NPL
328,NPL
330,NPL
342,NPL
348,NPL
357,NPL
358,NPL
371,NPL
383,NPL
391,NPL
396,NPL
400,NPL
10,NER
18,NER
73,NER
90,NER
161,NER
182,NER
185,NER
194,NER
198,NER
226,NER
227,NER
253,NER
279,NER
293,NER
324,NER
325,NER
328,NER
342,NER
358,NER
382,NER
390,NER
392,NER
10,NER
18,NER
73,NER
90,NER
161,NER
182,NER
185,NER
194,NER
198,NER
226,NER
227,NER
253,NER
279,NER
293,NER
324,NER
325,NER
328,NER
342,NER
358,NER
382,NER
390,NER
392,NER
2,RWA
4,RWA
16,RWA
54,RWA
62,RWA
73,RWA
90,RWA
112,RWA
148,RWA
194,RWA
198,RWA
204,RWA
212,RWA
226,RWA
234,RWA
235,RWA
272,RWA
282,RWA
328,RWA
342,RWA
349,RWA
355,RWA
357,RWA
366,RWA
391,RWA
397,RWA
2,SLE
4,SLE
5,SLE
6,SLE
18,SLE
42,SLE
65,SLE
73,SLE
90,SLE
97,SLE
114,SLE
117,SLE
162,SLE
194,SLE
204,SLE
227,SLE
248,SLE
324,SLE
328,SLE
342,SLE
370,SLE
380,SLE
381,SLE
390,SLE
391,SLE
398,SLE
18,SOM
63,SOM
96,SOM
182,SOM
194,SOM
226,SOM
227,SOM
231,SOM
232,SOM
253,SOM
328,SOM
382,SOM
73,TJK
194,TJK
227,TJK
295,TJK
328,TJK
4,TZA
5,TZA
18,TZA
20,TZA
41,TZA
42,TZA
45,TZA
54,TZA
73,TZA
84,TZA
90,TZA
102,TZA
112,TZA
128,TZA
130,TZA
131,TZA
134,TZA
153,TZA
182,TZA
185,TZA
194,TZA
204,TZA
219,TZA
226,TZA
234,TZA
235,TZA
237,TZA
253,TZA
262,TZA
