Country Code,Income Level,populationAbs,Surgeons,Anaesthesiologists,Obstetricians
UGA,LIC,36350000,204,17,124
UKR,LMIC,45593000,0,0,12745
GBR,HIC,64510000,36521,15358,7723
USA,HIC,311722000,114679,46446,40123
URY,UMIC,3419000,400,330,600
UZB,LMIC,29775000,0,0,5549
VUT,LMIC,259000,5,2,2
VEN,UMIC,30694000,3411,0,2154
YEM,LMIC,26184000,104,15,93
ZMB,LMIC,14080000,97,13,46
ZWE,LIC,14599000,80,48,63
